Satellite,Epoch Time,L1C,C1C
G19,2025-03-11 11:04:34,21730099.773,114192719.141
G20,2025-03-11 11:04:34,20584611.422,108173169.305
G17,2025-03-11 11:04:34,24138999.273,126851270.119
G12,2025-03-11 11:04:34,21917124.633,115175259.647
G06,2025-03-11 11:04:34,22781208.164,119716236.485
G09,2025-03-11 11:04:34,24515151.984,128828011.002
G22,2025-03-11 11:04:34,25173841.844,132289443.429
G13,2025-03-11 11:04:34,23210944.43,121974520.461
G25,2025-03-11 11:04:34,23426537.094,123107287.891
G15,2025-03-11 11:04:34,25392899.977,133440639.307
G11,2025-03-11 11:04:34,21842593.414,114783807.456
G05,2025-03-11 11:04:35,21119083.727,110981740.393
G19,2025-03-11 11:04:35,21730460.414,114194616.059
G20,2025-03-11 11:04:35,20584714.344,108173709.506
G17,2025-03-11 11:04:35,24139444.313,126853615.398
G12,2025-03-11 11:04:35,21917179.469,115175549.227
G06,2025-03-11 11:04:35,22781329.469,119716877.971
G09,2025-03-11 11:04:35,24515522.563,128829952.61
G22,2025-03-11 11:04:35,25174367.859,132292211.884
G13,2025-03-11 11:04:35,23210253.477,121970889.281
G25,2025-03-11 11:04:35,23426285.719,123105966.867
G15,2025-03-11 11:04:35,25392149.672,133436695.191
G11,2025-03-11 11:04:35,21842559.313,114783627.739
G05,2025-03-11 11:04:36,21118766.734,110980073.019
G19,2025-03-11 11:04:36,21730821.156,114196513.448
G20,2025-03-11 11:04:36,20584817.102,108174250.059
G17,2025-03-11 11:04:36,24139891.688,126855961.0
G12,2025-03-11 11:04:36,21917234.844,115175839.411
G06,2025-03-11 11:04:36,22781452.094,119717519.474
G09,2025-03-11 11:04:36,24515891.664,128831894.684
G22,2025-03-11 11:04:36,25174895.781,132294980.191
G13,2025-03-11 11:04:36,23209562.75,121967258.105
G25,2025-03-11 11:04:36,23426034.656,123104646.412
G15,2025-03-11 11:04:36,25391398.227,133432750.924
G11,2025-03-11 11:04:36,21842525.141,114783448.062
G05,2025-03-11 11:04:37,21118449.477,110978406.051
G19,2025-03-11 11:04:37,21731182.586,114198411.2
G20,2025-03-11 11:04:37,20584920.094,108174790.859
G17,2025-03-11 11:04:37,24140337.719,126858306.797
G12,2025-03-11 11:04:37,21917290.195,115176130.098
G06,2025-03-11 11:04:37,22781574.875,119718160.907
G09,2025-03-11 11:04:37,24516261.805,128833837.114
G22,2025-03-11 11:04:37,25175422.102,132297748.275
G13,2025-03-11 11:04:37,23208871.992,121963626.858
G25,2025-03-11 11:04:37,23425783.336,123103326.445
G15,2025-03-11 11:04:37,25390648.117,133428806.444
G11,2025-03-11 11:04:37,21842490.93,114783268.335
G05,2025-03-11 11:04:38,21118132.477,110976739.638
G19,2025-03-11 11:04:38,21731544.172,114200309.47
G20,2025-03-11 11:04:38,20585023.164,108175332.059
G17,2025-03-11 11:04:38,24140783.664,126860652.937
G12,2025-03-11 11:04:38,21917345.898,115176421.423
G06,2025-03-11 11:04:38,22781696.844,119718802.389
G09,2025-03-11 11:04:38,24516630.828,128835780.04
G22,2025-03-11 11:04:38,25175949.141,132300516.281
G13,2025-03-11 11:04:38,23208181.148,121959995.686
G25,2025-03-11 11:04:38,23425532.828,123102007.103
G15,2025-03-11 11:04:38,25389897.672,133424861.859
G11,2025-03-11 11:04:38,21842456.445,114783088.694
G05,2025-03-11 11:04:39,21117815.477,110975073.645
G19,2025-03-11 11:04:39,21731905.492,114202208.127
G20,2025-03-11 11:04:39,20585125.82,108175873.519
G17,2025-03-11 11:04:39,24141231.625,126862999.294
G12,2025-03-11 11:04:39,21917401.523,115176713.264
G06,2025-03-11 11:04:39,22781818.063,119719443.801
G09,2025-03-11 11:04:39,24516999.977,128837723.325
G22,2025-03-11 11:04:39,25176475.203,132303284.049
G13,2025-03-11 11:04:39,23207490.609,121956364.424
G25,2025-03-11 11:04:39,23425281.57,123100688.263
G15,2025-03-11 11:04:39,25389147.039,133420917.066
G11,2025-03-11 11:04:39,21842423.172,114782909.006
G05,2025-03-11 11:04:40,21117498.305,110973408.126
G19,2025-03-11 11:04:40,21732266.328,114204107.232
G20,2025-03-11 11:04:40,20585229.031,108176415.304
G17,2025-03-11 11:04:40,24141677.852,126865345.932
G12,2025-03-11 11:04:40,21917457.18,115177005.676
G06,2025-03-11 11:04:40,22781939.977,119720085.218
G09,2025-03-11 11:04:40,24517370.172,128839667.032
G22,2025-03-11 11:04:40,25177001.695,132306051.655
G13,2025-03-11 11:04:40,23206798.609,121952733.155
G25,2025-03-11 11:04:40,23425030.109,123099369.969
G15,2025-03-11 11:04:40,25388397.656,133416972.132
G11,2025-03-11 11:04:40,21842388.813,114782729.33
G05,2025-03-11 11:04:41,21117181.797,110971743.067
G19,2025-03-11 11:04:41,21732628.328,114206006.763
G20,2025-03-11 11:04:41,20585332.172,108176957.401
G17,2025-03-11 11:04:41,24142123.625,126867692.84
G12,2025-03-11 11:04:41,21917512.891,115177298.65
G06,2025-03-11 11:04:41,22782062.992,119720726.596
G09,2025-03-11 11:04:41,24517740.398,128841611.168
G22,2025-03-11 11:04:41,25177530.07,132308819.032
G13,2025-03-11 11:04:41,23206107.867,121949101.862
G25,2025-03-11 11:04:41,23424780.18,123098052.218
G15,2025-03-11 11:04:41,25387646.203,133413027.016
G11,2025-03-11 11:04:41,21842354.742,114782549.661
G05,2025-03-11 11:04:42,21116864.773,110970078.483
G19,2025-03-11 11:04:42,21732989.805,114207906.735
G20,2025-03-11 11:04:42,20585435.117,108177499.823
G17,2025-03-11 11:04:42,24142570.367,126870040.039
G12,2025-03-11 11:04:42,21917568.469,115177592.203
G06,2025-03-11 11:04:42,22782184.148,119721367.994
G09,2025-03-11 11:04:42,24518109.438,128843555.723
G22,2025-03-11 11:04:42,25178056.688,132311586.3631
G13,2025-03-11 11:04:42,23205416.789,121945470.564
G25,2025-03-11 11:04:42,23424529.133,123096735.019
G15,2025-03-11 11:04:42,25386894.172,133409081.724
G11,2025-03-11 11:04:42,21842320.344,114782370.012
G05,2025-03-11 11:04:43,21116548.227,110968414.371
G19,2025-03-11 11:04:43,21733351.359,114209807.144
G20,2025-03-11 11:04:43,20585538.375,108178042.563
G17,2025-03-11 11:04:43,24143017.461,126872387.484
G12,2025-03-11 11:04:43,21917624.5,115177886.325
G06,2025-03-11 11:04:43,22782306.828,119722009.354
G09,2025-03-11 11:04:43,24518480.055,128845500.697
G22,2025-03-11 11:04:43,25178581.969,132314353.444
G13,2025-03-11 11:04:43,23204726.023,121941839.236
G25,2025-03-11 11:04:43,23424278.711,123095418.379
G15,2025-03-11 11:04:43,25386144.469,133405136.285
G11,2025-03-11 11:04:43,21842285.734,114782190.367
G05,2025-03-11 11:04:44,21116231.555,110966750.745
G19,2025-03-11 11:04:44,21733713.055,114211708.016
G20,2025-03-11 11:04:44,20585641.828,108178585.644
G17,2025-03-11 11:04:44,24143464.461,126874735.222
G12,2025-03-11 11:04:44,21917680.82,115178181.029
G06,2025-03-11 11:04:44,22782428.859,119722650.725
G09,2025-03-11 11:04:44,24518850.016,128847446.097
G22,2025-03-11 11:04:44,25179108.289,132317120.406
G13,2025-03-11 11:04:44,23204034.578,121938207.923
G25,2025-03-11 11:04:44,23424028.758,123094102.3
G15,2025-03-11 11:04:44,25385393.5,133401190.694
G11,2025-03-11 11:04:44,21842251.578,114782010.753
G05,2025-03-11 11:04:45,21115914.828,110965087.587
G19,2025-03-11 11:04:45,21734075.227,114213609.313
G20,2025-03-11 11:04:45,20585745.305,108179129.034
G17,2025-03-11 11:04:45,24143911.961,126877083.229
G12,2025-03-11 11:04:45,21917737.313,115178476.284
G06,2025-03-11 11:04:45,22782551.164,119723292.077
G09,2025-03-11 11:04:45,24519219.891,128849391.933
G22,2025-03-11 11:04:45,25179635.25,132319887.17
G13,2025-03-11 11:04:45,23203343.805,121934576.575
G25,2025-03-11 11:04:45,23423778.75,123092786.748
G15,2025-03-11 11:04:45,25384641.195,133397244.919
G11,2025-03-11 11:04:45,21842217.992,114781831.138
G05,2025-03-11 11:04:46,21115598.516,110963424.841
G19,2025-03-11 11:04:46,21734436.969,114215510.977
G20,2025-03-11 11:04:46,20585848.922,108179672.671
G17,2025-03-11 11:04:46,24144358.023,126879431.433
G12,2025-03-11 11:04:46,21917793.141,115178772.042
G06,2025-03-11 11:04:46,22782673.383,119723933.337
G09,2025-03-11 11:04:46,24519590.031,128851338.107
G22,2025-03-11 11:04:46,25180161.414,
G13,2025-03-11 11:04:46,23202653.266,121930945.134
G25,2025-03-11 11:04:46,23423527.859,123091471.682
G15,2025-03-11 11:04:46,25383890.477,133393298.942
G11,2025-03-11 11:04:46,21842183.523,114781651.459
G05,2025-03-11 11:04:47,21115282.367,110961762.573
G19,2025-03-11 11:04:47,21734798.797,114217413.067
G20,2025-03-11 11:04:47,20585952.391,108180216.62
G17,2025-03-11 11:04:47,24144805.5,126881779.89
G12,2025-03-11 11:04:47,21917849.719,115179068.358
G06,2025-03-11 11:04:47,22782794.414,119724574.576
G09,2025-03-11 11:04:47,24519961.664,128853284.677
G22,2025-03-11 11:04:47,25180687.344,132325420.0581
G13,2025-03-11 11:04:47,23201961.984,121927313.666
G25,2025-03-11 11:04:47,23423278.023,123090157.165
G15,2025-03-11 11:04:47,25383140.203,133389352.778
G11,2025-03-11 11:04:47,21842149.633,114781471.785
G05,2025-03-11 11:04:48,21114966.102,110960100.808
G19,2025-03-11 11:04:48,21735160.906,114219315.628
G20,2025-03-11 11:04:48,20586056.156,108180760.915
G17,2025-03-11 11:04:48,24145252.875,126884128.649
G12,2025-03-11 11:04:48,21917905.922,115179365.272
G06,2025-03-11 11:04:48,22782916.641,119725215.839
G09,2025-03-11 11:04:48,24520333.664,128855231.709
G22,2025-03-11 11:04:48,25181212.797,
G13,2025-03-11 11:04:48,23201270.492,121923682.221
G25,2025-03-11 11:04:48,23423027.219,123088843.224
G15,2025-03-11 11:04:48,25382389.273,133385406.51
G11,2025-03-11 11:04:48,21842115.359,114781292.156
G05,2025-03-11 11:04:49,21114650.016,110958439.494
G19,2025-03-11 11:04:49,21735523.258,114221218.609
G20,2025-03-11 11:04:49,20586159.633,108181305.518
G17,2025-03-11 11:04:49,24145698.813,126886477.679
G12,2025-03-11 11:04:49,21917962.711,115179662.754
G06,2025-03-11 11:04:49,22783038.789,119725857.073
G09,2025-03-11 11:04:49,24520702.844,128857179.141
G22,2025-03-11 11:04:49,25181740.813,132330952.393
G13,2025-03-11 11:04:49,23200580.25,121920050.746
G25,2025-03-11 11:04:49,23422777.148,123087529.815
G15,2025-03-11 11:04:49,25381638.68,133381460.063
G11,2025-03-11 11:04:49,21842081.203,114781112.528
G05,2025-03-11 11:04:50,21114333.945,110956778.66
G19,2025-03-11 11:04:50,21735885.531,114223122.042
G20,2025-03-11 11:04:50,20586263.453,108181850.448
G17,2025-03-11 11:04:50,24146145.813,126888826.979
G12,2025-03-11 11:04:50,21918019.516,115179960.802
G06,2025-03-11 11:04:50,22783160.055,119726498.299
G09,2025-03-11 11:04:50,24521073.594,128859127.006
G22,2025-03-11 11:04:50,25182267.055,132333718.2681
G13,2025-03-11 11:04:50,23199889.5,121916419.267
G25,2025-03-11 11:04:50,23422526.961,123086216.971
G15,2025-03-11 11:04:50,25380888.344,133377513.446
G11,2025-03-11 11:04:50,21842046.492,114780932.913
G05,2025-03-11 11:04:51,21114017.836,110955118.334
G19,2025-03-11 11:04:51,21736247.984,114225025.947
G20,2025-03-11 11:04:51,20586367.18,108182395.724
G17,2025-03-11 11:04:51,24146593.672,126891176.592
G12,2025-03-11 11:04:51,21918075.984,115180259.449
G06,2025-03-11 11:04:51,22783282.75,119727139.548
G09,2025-03-11 11:04:51,24521444.305,128861075.323
G22,2025-03-11 11:04:51,25182793.711,132336484.027
G13,2025-03-11 11:04:51,23199198.25,121912787.831
G25,2025-03-11 11:04:51,23422277.672,123084904.701
G15,2025-03-11 11:04:51,25380137.953,133373566.709
G11,2025-03-11 11:04:51,21842012.727,114780753.341
G05,2025-03-11 11:04:52,21113701.992,110953458.548
G19,2025-03-11 11:04:52,21736610.094,114226930.349
G20,2025-03-11 11:04:52,20586470.906,108182941.382
G17,2025-03-11 11:04:52,24147040.82,126893526.529
G12,2025-03-11 11:04:52,21918133.156,115180558.729
G06,2025-03-11 11:04:52,22783404.672,119727780.842
G09,2025-03-11 11:04:52,24521814.469,
G22,2025-03-11 11:04:52,25183320.805,132339249.662
G13,2025-03-11 11:04:52,23198507.32,121909156.44
G25,2025-03-11 11:04:52,23422027.797,123083593.041
G15,2025-03-11 11:04:52,25379387.031,133369619.843
G11,2025-03-11 11:04:52,21841978.461,114780573.845
G05,2025-03-11 11:04:53,21113386.266,110951799.246
G19,2025-03-11 11:04:53,21736972.453,114228835.208
G20,2025-03-11 11:04:53,20586574.719,108183487.376
G17,2025-03-11 11:04:53,24147488.203,126895876.751
G12,2025-03-11 11:04:53,21918190.117,115180858.586
G06,2025-03-11 11:04:53,22783527.078,119728422.137
G09,2025-03-11 11:04:53,24522186.023,128864973.354
G22,2025-03-11 11:04:53,25183845.773,132342015.155
G13,2025-03-11 11:04:53,23197815.438,121905525.034
G25,2025-03-11 11:04:53,23421777.961,123082281.959
G15,2025-03-11 11:04:53,25378635.844,133365672.855
G11,2025-03-11 11:04:53,21841944.367,114780394.37
G05,2025-03-11 11:04:54,21113070.109,110950140.413
G19,2025-03-11 11:04:54,21737335.344,114230740.495
G20,2025-03-11 11:04:54,20586678.602,108184033.69
G17,2025-03-11 11:04:54,24147934.602,126898227.252
G12,2025-03-11 11:04:54,21918247.25,115181159.013
G06,2025-03-11 11:04:54,22783649.602,119729063.419
G09,2025-03-11 11:04:54,24522557.125,128866923.038
G22,2025-03-11 11:04:54,25184371.633,132344780.456
G13,2025-03-11 11:04:54,23197124.523,121901893.622
G25,2025-03-11 11:04:54,23421529.688,123080971.408
G15,2025-03-11 11:04:54,25377884.477,133361725.669
G11,2025-03-11 11:04:54,21841910.055,114780214.91
G05,2025-03-11 11:04:55,21112754.836,110948482.066
G19,2025-03-11 11:04:55,21737697.938,114232646.233
G20,2025-03-11 11:04:55,20586782.391,108184580.329
G17,2025-03-11 11:04:55,24148381.891,126900578.034
G12,2025-03-11 11:04:55,21918304.734,115181460.02
G06,2025-03-11 11:04:55,22783771.656,119729704.698
G09,2025-03-11 11:04:55,24522926.719,128868873.109
G22,2025-03-11 11:04:55,25184898.141,
G13,2025-03-11 11:04:55,23196433.523,121898262.188
G25,2025-03-11 11:04:55,23421281.195,123079661.447
G15,2025-03-11 11:04:55,25377133.578,133357778.343
G11,2025-03-11 11:04:55,21841875.852,114780035.471
G05,2025-03-11 11:04:56,21112439.563,110946824.201
G19,2025-03-11 11:04:56,21738060.422,114234552.42
G20,2025-03-11 11:04:56,20586886.898,108185127.298
G17,2025-03-11 11:04:56,24148829.211,126902929.077
G12,2025-03-11 11:04:56,21918362.063,115181761.598
G06,2025-03-11 11:04:56,22783892.523,119730345.991
G09,2025-03-11 11:04:56,24523297.711,128870823.633
G22,2025-03-11 11:04:56,25185424.922,132350310.629
G13,2025-03-11 11:04:56,23195742.273,121894630.749
G25,2025-03-11 11:04:56,23421031.531,123078352.022
G15,2025-03-11 11:04:56,25376382.695,133353830.868
G11,2025-03-11 11:04:56,21841841.734,114779856.05
G05,2025-03-11 11:04:57,21112123.914,110945166.818
G19,2025-03-11 11:04:57,21738423.719,114236459.05
G20,2025-03-11 11:04:57,20586991.063,108185674.588
G17,2025-03-11 11:04:57,24149275.914,126905280.415
G12,2025-03-11 11:04:57,21918419.734,115182063.755
G06,2025-03-11 11:04:57,22784014.844,119730987.247
G09,2025-03-11 11:04:57,24523669.508,128872774.557
G22,2025-03-11 11:04:57,25185951.961,132353075.482
G13,2025-03-11 11:04:57,23195051.813,121890999.299
G25,2025-03-11 11:04:57,23420782.063,123077043.147
G15,2025-03-11 11:04:57,25375629.938,133349883.219
G11,2025-03-11 11:04:57,21841807.445,114779676.64
G05,2025-03-11 11:04:58,21111808.727,110943509.898
G19,2025-03-11 11:04:58,21738786.188,114238366.1
G20,2025-03-11 11:04:58,20587095.07,108186222.184
G17,2025-03-11 11:04:58,24149724.102,126907632.012
G12,2025-03-11 11:04:58,21918477.461,115182366.458
G06,2025-03-11 11:04:58,22784136.82,119731628.492
G09,2025-03-11 11:04:58,24524041.297,128874725.891
G22,2025-03-11 11:04:58,25186479.047,132355840.139
G13,2025-03-11 11:04:58,23194360.375,121887367.821
G25,2025-03-11 11:04:58,23420533.18,123075734.821
G15,2025-03-11 11:04:58,25374880.023,133345935.404
G11,2025-03-11 11:04:58,21841772.961,114779497.238
G05,2025-03-11 11:04:59,21111493.5,110941853.445
G19,2025-03-11 11:04:59,21739149.117,114240273.588
G20,2025-03-11 11:04:59,20587199.383,108186770.094
G17,2025-03-11 11:04:59,24150171.805,126909983.847
G12,2025-03-11 11:04:59,21918534.961,115182669.728
G06,2025-03-11 11:04:59,22784258.633,119732269.71
G09,2025-03-11 11:04:59,24524412.773,128876677.638
G22,2025-03-11 11:04:59,25187005.242,132358604.625
G13,2025-03-11 11:04:59,23193669.398,121883736.311
G25,2025-03-11 11:04:59,23420284.078,123074427.028
G15,2025-03-11 11:04:59,25374128.922,133341987.418
G11,2025-03-11 11:04:59,21841739.227,114779317.831
G05,2025-03-11 11:05:00,21111178.703,110940197.491
G19,2025-03-11 11:05:00,21739512.336,114242181.524
G20,2025-03-11 11:05:00,20587303.82,108187318.338
G17,2025-03-11 11:05:00,24150620.078,126912335.977
G12,2025-03-11 11:05:00,21918592.977,115182973.575
G06,2025-03-11 11:05:00,22784380.586,119732910.938
G09,2025-03-11 11:05:00,24524784.656,128878629.828
G22,2025-03-11 11:05:00,25187529.477,
G13,2025-03-11 11:05:00,23192978.133,121880104.82
G25,2025-03-11 11:05:00,23420036.008,123073119.794
G15,2025-03-11 11:05:00,25373377.367,133338039.287
G11,2025-03-11 11:05:00,21841705.32,114779138.455
G05,2025-03-11 11:05:01,21110863.477,110938542.055
G19,2025-03-11 11:05:01,21739875.023,114244089.936
G20,2025-03-11 11:05:01,20587408.359,108187866.938
G17,2025-03-11 11:05:01,24151068.063,126914688.452
G12,2025-03-11 11:05:01,21918650.555,115183278.035
G06,2025-03-11 11:05:01,22784502.266,119733552.192
G09,2025-03-11 11:05:01,24525155.688,128880582.459
G22,2025-03-11 11:05:01,25188055.93,132364133.148
G13,2025-03-11 11:05:01,23192287.555,121876473.325
G25,2025-03-11 11:05:01,23419787.313,123071813.163
G15,2025-03-11 11:05:01,25372625.789,133334091.035
G11,2025-03-11 11:05:01,21841671.266,114778959.127
G05,2025-03-11 11:05:02,21110548.297,110936887.117
G19,2025-03-11 11:05:02,21740238.617,114245998.817
G20,2025-03-11 11:05:02,20587512.742,108188415.88
G17,2025-03-11 11:05:02,24151515.688,126917041.186
G12,2025-03-11 11:05:02,21918708.125,115183583.076
G06,2025-03-11 11:05:02,22784624.055,119734193.446
G09,2025-03-11 11:05:02,24525527.227,128882535.546
G22,2025-03-11 11:05:02,25188581.016,132366897.201
G13,2025-03-11 11:05:02,23191596.508,121872841.856
G25,2025-03-11 11:05:02,23419538.5,123070507.094
G15,2025-03-11 11:05:02,25371875.008,133330142.627
G11,2025-03-11 11:05:02,21841637.117,114778779.835
G05,2025-03-11 11:05:03,21110233.703,110935232.666
G19,2025-03-11 11:05:03,21740602.172,114247908.151
G20,2025-03-11 11:05:03,20587617.461,108188965.159
G17,2025-03-11 11:05:03,24151962.727,126919394.215
G12,2025-03-11 11:05:03,21918767.008,115183888.715
G06,2025-03-11 11:05:03,22784747.07,119734834.722
G09,2025-03-11 11:05:03,24525898.828,128884489.082
G22,2025-03-11 11:05:03,25189108.266,132369661.103
G13,2025-03-11 11:05:03,23190905.922,121869210.385
G25,2025-03-11 11:05:03,23419290.422,123069201.589
G15,2025-03-11 11:05:03,25371123.578,133326194.075
G11,2025-03-11 11:05:03,21841602.766,114778600.571
G05,2025-03-11 11:05:04,21109918.875,110933578.687
G19,2025-03-11 11:05:04,21740965.016,114249817.918
G20,2025-03-11 11:05:04,20587722.016,108189514.752
G17,2025-03-11 11:05:04,24152410.68,126921747.525
G12,2025-03-11 11:05:04,21918824.789,115184194.915
G06,2025-03-11 11:05:04,22784870.188,119735475.975
G09,2025-03-11 11:05:04,24526270.898,128886443.011
G22,2025-03-11 11:05:04,25189634.922,132372424.819
G13,2025-03-11 11:05:04,23190215.078,121865578.905
G25,2025-03-11 11:05:04,23419041.969,123067896.637
G15,2025-03-11 11:05:04,25370371.766,133322245.366
G11,2025-03-11 11:05:04,21841568.836,114778421.315
G05,2025-03-11 11:05:05,21109604.305,110931925.202
G19,2025-03-11 11:05:05,21741328.836,114251728.139
G20,2025-03-11 11:05:05,20587826.477,108190064.678
G17,2025-03-11 11:05:05,24152858.805,126924101.108
G12,2025-03-11 11:05:05,21918883.125,115184501.694
G06,2025-03-11 11:05:05,22784991.773,119736117.226
G09,2025-03-11 11:05:05,24526642.266,128888397.402
G22,2025-03-11 11:05:05,25190160.188,132375188.404
G13,2025-03-11 11:05:05,23189523.859,121861947.416
G25,2025-03-11 11:05:05,23418793.188,123066592.254
G15,2025-03-11 11:05:05,25369620.102,133318296.486
G11,2025-03-11 11:05:05,21841535.016,114778242.082
G05,2025-03-11 11:05:06,21109289.742,110930272.148
G19,2025-03-11 11:05:06,21741692.398,114253638.758
G20,2025-03-11 11:05:06,20587931.188,108190614.881
G17,2025-03-11 11:05:06,24153306.406,126926454.939
G12,2025-03-11 11:05:06,21918941.797,115184809.002
G06,2025-03-11 11:05:06,22785113.688,119736758.42
G09,2025-03-11 11:05:06,24527013.742,128890352.153
G22,2025-03-11 11:05:06,25190685.656,132377951.765
G13,2025-03-11 11:05:06,23188831.992,121858315.865
G25,2025-03-11 11:05:06,23418544.992,123065288.361
G15,2025-03-11 11:05:06,25368867.742,133314347.437
G11,2025-03-11 11:05:06,21841501.133,114778062.816
G05,2025-03-11 11:05:07,21108975.094,110928619.505
G19,2025-03-11 11:05:07,21742055.984,114255549.743
G20,2025-03-11 11:05:07,20588035.836,108191165.341
G17,2025-03-11 11:05:07,24153754.781,126928808.968
G12,2025-03-11 11:05:07,21919000.461,115185116.809
G06,2025-03-11 11:05:07,22785236.742,119737399.544
G09,2025-03-11 11:05:07,24527386.438,128892307.264
